smiles,neg_log_ic50,chembl_id,set
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCCO5)cc23)c1,7.008773924307505,CHEMBL2070198,valid
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCO5)cc23)c1,5.991399828238082,CHEMBL2070192,train
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCO5)cc23)c1,6.200659450546418,CHEMBL2070197,train
Brc1cccc(Nc2ncnc3ccc4[nH]cnc4c23)c1,7.5376020021010435,CHEMBL153170,valid
Brc1cccc(Nc2ncnc3ccc4cc[nH]c4c23)c1,8.906578314837764,CHEMBL153525,train
Brc1cccc(Nc2ncnc3ccccc23)c1,7.566916201488629,CHEMBL290096,train
Brc1cccc(Nc2ncnc3cccnc23)c1,7.464283620650674,CHEMBL54805,valid
Brc1cccc(Nc2ncnc3ccncc23)c1,7.452974172245018,CHEMBL52665,train
Brc1cccc(Nc2ncnc3ccncc23)c1NCCCCN1CCOCC1,8.260032303240491,CHEMBL272895,train
Brc1cccc(Nc2ncnc3ccncc23)c1NCCCN1CCOCC1,8.720105019988361,CHEMBL271334,train
Brc1cccc(Nc2ncnc3ccncc23)c1NCCCn1ccnc1,9.289967300934247,CHEMBL272865,train
Brc1cccc(Nc2ncnc3ccncc23)c1NCCN1CCOCC1,8.489991487059765,CHEMBL405398,train
Brc1cccc(Nc2ncnc3ccncc23)c1NCCc1c[nH]cn1,9.040005161671584,CHEMBL272187,train
Brc1cccc(Nc2ncnc3ccsc23)c1,7.958607314841775,CHEMBL345294,train
Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)cc23)c1,8.614573994178928,CHEMBL165574,train
Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)nc23)c1,8.533816396300542,CHEMBL417420,train
Brc1cccc(Nc2ncnc3cnc(NCCCn4ccnc4)cc23)c1,8.405254843150317,CHEMBL162981,valid
Brc1cccc(Nc2ncnc3cnc(NCCCn4ccnc4)nc23)c1,8.638272163982407,CHEMBL51228,train
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,7.886683605190501,CHEMBL162622,train
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)nc23)c1,8.896723197449077,CHEMBL294475,valid
Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)cc23)c1,8.654282423927969,CHEMBL162142,train
Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)nc23)c1,9.16482339338829,CHEMBL53426,train
Brc1cccc(Nc2ncnc3cnc(NCCc4ccccn4)cc23)c1,8.506166867536862,CHEMBL162223,train
Brc1cccc(Nc2ncnc3cnc(NCCn4ccnc4)nc23)c1,8.630042392653946,CHEMBL271328,valid
Brc1cccc(Nc2ncnc3cnc(NCc4cccnc4)cc23)c1,8.35498269431874,CHEMBL165508,train
Brc1cccc(Nc2ncnc3cnccc23)c1,7.291198562418154,CHEMBL51265,train
Brc1cccc(Nc2ncnc3ncccc23)c1,6.161206085627948,CHEMBL54475,valid
Brc1cccc(Nc2ncnc3sc4c(c23)CCCC4)c1,8.58335949266172,CHEMBL4171764,train
Brc1cccc(Nc2ncnc3sccc23)c1,7.455931955649724,CHEMBL355982,train
Brc1cccc(Oc2ncnc3ccccc23)c1,6.121478204498794,CHEMBL117710,train
C#CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.522878745280337,CHEMBL378144,train
C#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.682258126592544,CHEMBL202360,train
C#CCCCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,7.485452247339714,CHEMBL590558,train
C#CCCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,7.059981844992337,CHEMBL591039,valid
C#CCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,8.596879478824182,CHEMBL592216,train
C#CCCCOc1cc2c(Nc3cccc(Cl)c3)ncnc2cc1OC,7.752026733638194,CHEMBL592713,train
C#CCCn1cc(Nc2nc(OC[C@H]3CN(C(=O)C=C)C[C@@H]3OC)c3c(Cl)c[nH]c3n2)cn1,6.586315363473087,CHEMBL3786812,train
C#CCNC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,6.634512015109101,CHEMBL3092304,train
C#CCNC/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCC,8.871641127011257,CHEMBL1243316,valid
C#CCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,7.8297382846050425,CHEMBL597949,train
C#CCOc1cc2c(Nc3cccc(Cl)c3)ncnc2cc1OC,7.586700235918748,CHEMBL597948,train
C#CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,7.910587741770383,CHEMBL3787386,train
C#Cc1cc(Nc2ncnc3cc(OC)c(OC)cc23)ccc1F,8.397940008672037,CHEMBL65250,train
C#Cc1cc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)ccc1F,7.540607512240769,CHEMBL598798,valid
C#Cc1cc2c(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)ncnc2s1,7.1487416512809245,CHEMBL3416634,train
C#Cc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,6.896538377905295,CHEMBL249509,train
C#Cc1cccc(-n2ccc3cc(OC)cc(O)c3c2=O)c1,5.51427857351842,CHEMBL2442327,train
C#Cc1cccc(-n2ccc3cc(OC)cc(OC)c3c2=O)c1,5.454692883534176,CHEMBL2442319,valid
C#Cc1cccc(N2C(=O)Nc3c(C(=O)Nc4ccc(CN5CCCC5)cc4)sc4ncnc2c34)c1,7.585026652029182,CHEMBL3416629,train
C#Cc1cccc(NC(=O)c2cc(NC(=O)CCCCCC(=O)NO)c(OC)cc2O)c1,5.950781977329818,CHEMBL2047026,valid
C#Cc1cccc(NC(=O)c2cc(NC(=O)CCCCCC(=O)NO)ccc2O)c1,5.480172006224281,CHEMBL2047020,valid
C#Cc1cccc(NC(=O)c2cc(NC(=O)CCCCCC(=O)NO)ccc2OC)c1,5.287350298372789,CHEMBL2047028,train
C#Cc1cccc(NC(=O)c2cc(NC(=O)CCCCCCC(=O)NO)ccc2O)c1,5.647817481888637,CHEMBL2047024,train
C#Cc1cccc(NC(=O)c2cc(OCCCCCCC(=O)NO)ccc2O)c1,6.045757490560675,CHEMBL2047029,train
C#Cc1cccc(NC(=O)c2cccc(NC(=O)CCCCCC(=O)NO)c2)c1,5.209714835966758,CHEMBL2047027,train
C#Cc1cccc(Nc2c(C#N)cnc3cc(OC)c(OC)cc23)c1,7.214670164989233,CHEMBL4440586,train
C#Cc1cccc(Nc2c(C#N)cnc3cc(OCCOC)c(OCCOC)cc23)c1,6.070581074285707,CHEMBL95320,train
